LK_SL_TRIAL_L4_DATA_ID;LK_EXPERIMENT_EXPERIMENT_ID;YEAR;SPECIES_GROUP;SPECIES;SPECIES_SPECIFICITY;ORIGIN;SL_TRIAL;REPLICATION_NUM;ENTRY_NUM;LK_STOCK_S1_DATA_ID;STATUS;CULTURE_UNIT_X;CULTURE_UNIT_Y;CULTURE_UNIT_ROUTE_NUM;DESIGN_PLOT_CODE;DESIGN_X;DESIGN_Y;TRANSFER_APPY;SPECIES_ID;SPECIES_SPECIFICITY_ID;PLOT_DEFINITION_HASH
310105;42033;2016;7;T;-;RC;TD_VF_05;1;41;422;T;3;42;;162;2;6;0;12;25;
310104;42033;2016;7;T;-;RC;TD_VF_05;1;42;422;T;5;38;;124;4;2;0;12;25;
379138;44293;2016;7;T;-;RC;TD_TJ_05;2;30;422;T;51;15;;213;13;1;1;12;25;
379777;44230;2016;7;T;-;RC;TD_TJ_04;1;30;422;T;23;10;;121;21;1;1;12;25;
379778;44230;2016;7;T;-;RC;TD_TJ_04;2;30;422;T;15;11;;213;13;1;1;12;25;
379867;44239;2016;7;T;-;RC;TD_TL_04;1;30;422;T;54;10;;121;21;1;1;12;25;
379868;44239;2016;7;T;-;RC;TD_TL_04;2;30;422;T;46;11;;213;13;1;1;12;25;
379477;44100;2016;7;T;-;RC;TD_TM_05;1;30;422;T;57;2;;121;10;2;1;12;25;
943461;44267;2016;7;T;-;RC;TD_TH_03;1;40;422;T;4;8;;101;1;1;1;12;25;
943467;44267;2016;7;T;-;RC;TD_TH_03;2;40;422;T;21;9;;218;18;1;1;12;25;
943277;44268;2016;7;T;-;RC;TD_TH_50;2;40;422;T;21;11;;218;18;1;1;12;25;
943751;44269;2016;7;T;-;RC;TD_TH_54;1;40;422;T;6;8;;104;4;1;1;12;25;
349565;44298;2016;7;T;-;RC;TD_TI_04;2;36;422;T;70;7;;230;30;1;1;12;25;
379137;44293;2016;7;T;-;RC;TD_TJ_05;1;30;422;T;48;14;;121;10;2;1;12;25;
376658;44217;2016;7;T;-;RC;TD_TD_09;2;24;422;T;36;7;;214;11;2;0;12;25;
379052;44273;2016;7;T;-;RC;TD_TF_07;1;30;422;T;23;19;;121;21;1;1;12;25;
373798;44280;2016;7;T;-;RC;TD_TF_08;2;30;422;T;42;9;;213;13;1;0;12;25;
379384;44287;2016;7;T;-;RC;TD_TG_01;2;28;422;T;16;5;;214;14;1;1;12;25;
949657;44289;2016;7;T;-;RC;TD_TH_04;2;40;422;T;31;39;;222;19;2;1;12;25;
949371;44265;2016;7;T;-;RC;TD_TH_07;1;40;422;T;45;1;;104;4;1;1;12;25;
392493;44255;2016;7;T;-;RC;TD_TB_02;1;24;422;T;46;23;;104;4;1;1;12;25;
392645;44240;2016;7;T;-;RC;TD_TB_54;1;24;422;T;6;13;;104;4;1;1;12;25;
946292;44247;2016;7;T;-;RC;TD_TC_05;2;24;422;T;53;34;;214;3;2;1;12;25;
946746;44249;2016;7;T;-;RC;TD_TC_01;2;24;422;T;94;5;;214;14;1;1;12;25;
946767;44243;2016;7;T;-;RC;TD_TC_07;2;24;422;T;54;2;;214;14;1;1;12;25;
946957;44221;2016;7;T;-;RC;TD_TC_50;2;24;422;T;24;7;;214;11;2;0;12;25;
815963;58339;2015;7;T;-;RC;TD_VQ_05;1;43;422;T;54;40;;146;6;4;1;12;25;
816456;56023;2015;7;T;-;RC;TD_ST_05;1;43;422;T;26;19;;146;6;4;0;12;25;
373748;44201;2016;7;T;-;RC;TD_TA_51;1;38;422;T;32;1;;131;31;1;1;12;25;
392532;44203;2016;7;T;-;RC;TD_TB_05;1;24;422;T;4;26;;104;4;1;1;12;25;
392531;44203;2016;7;T;-;RC;TD_TB_05;2;24;422;T;11;29;;214;11;2;1;12;25;
815824;58332;2015;7;T;-;RC;TD_VM_04;1;41;422;T;117;6;;162;2;6;0;12;25;
815821;58332;2015;7;T;-;RC;TD_VM_04;1;43;422;T;121;4;;146;6;4;0;12;25;
815620;58337;2015;7;T;-;RC;TD_VO_04;1;41;422;T;124;6;;162;2;6;1;12;25;
815625;58337;2015;7;T;-;RC;TD_VO_04;1;42;422;T;126;2;;124;4;2;1;12;25;
